                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.7415,                 1.3599,                 1.8501,                0.67447,                0.70621,                0.68535,                0.30849,                 1.8997,                 1.3388,                 2.1998,              0.0011939,              0.0011939,              0.0011939
                     46,                 1.7464,                 1.3848,                 1.8468,                0.63527,                0.71258,                0.69406,                0.32733,                 1.9183,                 1.2873,                 2.2563,              0.0011829,              0.0011829,              0.0011829
                     47,                 1.7043,                 1.3905,                 1.8379,                0.63062,                0.75717,                0.71426,                0.32283,                 1.9531,                 1.2723,                 2.2196,              0.0011719,              0.0011719,              0.0011719
                     48,                 1.7537,                 1.3907,                 1.8499,                0.73241,                0.66988,                0.71732,                0.33321,                 1.9578,                 1.2981,                 2.1972,              0.0011609,              0.0011609,              0.0011609
                     49,                 1.7297,                 1.3969,                 1.8367,                 0.5639,                0.72406,                0.68589,                0.31629,                 1.8998,                 1.4882,                 2.2418,              0.0011499,              0.0011499,              0.0011499
                     50,                 1.7255,                  1.395,                 1.8605,                0.63856,                 0.7135,                0.68179,                0.32504,                 1.9161,                  1.246,                 2.2408,              0.0011389,              0.0011389,              0.0011389
                     51,                 1.7215,                 1.3642,                 1.8319,                0.67025,                 0.7213,                0.69721,                 0.3097,                 2.0224,                 1.2839,                 2.3108,              0.0011279,              0.0011279,              0.0011279
                     52,                 1.7261,                 1.3379,                 1.8331,                0.46604,                0.56142,                0.46517,                0.17188,                 2.1138,                 2.0347,                 2.3003,              0.0011169,              0.0011169,              0.0011169
                     53,                 1.7118,                 1.3633,                 1.8434,                0.71024,                0.62137,                0.70404,                 0.3286,                 1.8565,                 1.2776,                 2.1675,              0.0011059,              0.0011059,              0.0011059
                     54,                 1.7297,                 1.3718,                 1.8576,                0.58085,                0.75803,                0.68857,                0.32345,                 1.8841,                 1.2315,                 2.2238,              0.0010949,              0.0010949,              0.0010949
                     55,                 1.7175,                 1.3343,                 1.8466,                 0.6913,                0.73098,                0.73146,                0.34417,                 1.9259,                  1.217,                  2.223,              0.0010839,              0.0010839,              0.0010839
                     56,                 1.7039,                 1.3148,                 1.8364,                0.58839,                0.66575,                0.64919,                0.30014,                 1.9347,                 1.3384,                 2.1595,              0.0010729,              0.0010729,              0.0010729
                     57,                  1.684,                 1.3499,                 1.8336,                0.60029,                0.67723,                0.66372,                0.32099,                 1.9324,                 1.4461,                 2.2849,              0.0010619,              0.0010619,              0.0010619
                     58,                 1.6869,                 1.2747,                 1.8107,                0.70918,                0.66868,                0.67984,                0.33335,                 1.8393,                 1.3073,                 2.1923,              0.0010509,              0.0010509,              0.0010509
                     59,                 1.6953,                 1.2994,                  1.827,                0.58552,                0.71739,                0.67092,                0.31076,                 1.8704,                 1.3536,                 2.1098,              0.0010399,              0.0010399,              0.0010399
                     60,                 1.6731,                 1.3124,                 1.7982,                0.66884,                0.61295,                0.65652,                0.29791,                 1.8795,                 1.4714,                 2.1556,              0.0010289,              0.0010289,              0.0010289
                     61,                 1.7205,                 1.3126,                 1.8321,                0.63072,                0.77022,                0.71136,                0.32654,                 1.9332,                 1.2828,                  2.204,              0.0010179,              0.0010179,              0.0010179
                     62,                 1.6432,                 1.2357,                 1.7916,                0.68195,                0.71353,                0.71238,                0.30679,                  2.013,                 1.2833,                 2.1748,              0.0010069,              0.0010069,              0.0010069
                     63,                 1.6502,                 1.2704,                 1.7867,                0.69521,                0.73768,                0.70951,                0.32936,                 1.9119,                 1.2185,                 2.2991,             0.00099587,             0.00099587,             0.00099587
                     64,                 1.7245,                 1.2973,                 1.8475,                0.63989,                0.75459,                0.69307,                0.31023,                 1.9187,                 1.3142,                 2.2292,             0.00098486,             0.00098486,             0.00098486
                     65,                 1.6662,                 1.2707,                 1.8178,                0.63801,                0.70928,                0.71712,                0.32564,                 1.8465,                 1.3607,                 2.1406,             0.00097386,             0.00097386,             0.00097386
                     66,                  1.659,                 1.3387,                 1.7995,                0.59728,                0.67264,                 0.6772,                0.32482,                 1.8341,                 1.3945,                 2.1745,             0.00096286,             0.00096286,             0.00096286
                     67,                 1.6883,                 1.2626,                 1.8028,                0.70195,                0.67428,                0.69877,                 0.3146,                 1.9722,                 1.2784,                 2.2083,             0.00095186,             0.00095186,             0.00095186
                     68,                  1.618,                 1.2012,                 1.7382,                0.61018,                0.71442,                0.70198,                0.33831,                  1.909,                 1.2264,                 2.1981,             0.00094085,             0.00094085,             0.00094085
                     69,                 1.6452,                 1.2329,                 1.7874,                0.64618,                0.73783,                 0.7075,                0.31962,                 1.9271,                 1.2021,                 2.2608,             0.00092985,             0.00092985,             0.00092985
                     70,                 1.6642,                  1.236,                 1.8033,                0.61195,                0.74767,                0.69857,                0.32232,                 1.9189,                 1.2708,                 2.2645,             0.00091885,             0.00091885,             0.00091885
                     71,                 1.6299,                 1.2262,                 1.7691,                0.68663,                0.68935,                0.69548,                0.32194,                 1.8673,                 1.3267,                 2.1651,             0.00090785,             0.00090785,             0.00090785
                     72,                 1.6407,                 1.2344,                 1.7793,                0.68761,                0.68962,                0.68418,                0.32608,                 1.8436,                  1.299,                 2.1567,             0.00089685,             0.00089685,             0.00089685
                     73,                 1.6497,                 1.2175,                 1.7775,                0.66574,                0.66942,                0.69732,                0.32503,                 1.9182,                 1.2773,                 2.1949,             0.00088584,             0.00088584,             0.00088584
                     74,                 1.6276,                 1.2047,                  1.796,                0.70811,                0.69848,                0.71234,                0.32487,                 1.8919,                 1.2306,                 2.1904,             0.00087484,             0.00087484,             0.00087484
                     75,                 1.6332,                 1.1882,                 1.7767,                0.68595,                0.71717,                0.72897,                0.34771,                 1.8973,                 1.2014,                 2.2115,             0.00086384,             0.00086384,             0.00086384
                     76,                 1.6237,                 1.2053,                 1.7656,                0.66661,                0.65932,                0.67782,                0.32491,                 1.8998,                 1.2673,                 2.1561,             0.00085284,             0.00085284,             0.00085284
                     77,                 1.5601,                 1.1338,                 1.7282,                0.70532,                0.73003,                0.72796,                0.34814,                 1.8634,                 1.1793,                 2.2045,             0.00084184,             0.00084184,             0.00084184
                     78,                 1.6316,                 1.1864,                 1.7733,                0.69252,                0.72779,                0.73301,                0.34313,                 1.8735,                 1.2252,                 2.1803,             0.00083083,             0.00083083,             0.00083083
                     79,                 1.6164,                 1.1884,                 1.7566,                0.70124,                0.69881,                0.73433,                0.35282,                 1.8464,                 1.2166,                 2.1551,             0.00081983,             0.00081983,             0.00081983
                     80,                 1.6046,                 1.2365,                 1.7794,                0.70866,                0.67997,                0.70189,                0.33044,                  1.869,                 1.2756,                 2.2004,             0.00080883,             0.00080883,             0.00080883
                     81,                 1.5795,                 1.1399,                 1.7277,                0.73591,                0.64534,                 0.7005,                0.31421,                  1.928,                 1.2525,                 2.2095,             0.00079783,             0.00079783,             0.00079783
                     82,                 1.6372,                 1.1768,                 1.7654,                0.70478,                0.73646,                0.74395,                0.34539,                 1.9044,                 1.2379,                 2.2323,             0.00078682,             0.00078682,             0.00078682
                     83,                 1.5834,                 1.1881,                 1.7528,                0.70305,                0.70008,                0.71841,                0.32254,                 1.8805,                 1.2463,                  2.205,             0.00077582,             0.00077582,             0.00077582
